W +69        74        70 152213002.9(1S)
    1  2s2 2p1           (0)0(     2.5)            0.0000   {X}
    2  2s1 2p2           (0)0(    14.5)     10057913.7000   {X}
    3  2s2 3s1           (0)0(     0.5)     77753227.2000   {X}
    4  2s2 3p1           (0)0(     2.5)     80804329.1000   {X}
    5  2s2 3d1           (0)0(     4.5)     82952743.2000   {X}
    6  2s1 2p1 3s1       (0)0(    11.5)     87507465.0000   {X}
    7  2s1 2p1 3p1       (0)0(    35.5)     90512411.4000   {X}
    19    11 6.33+13 1.13-01 1.13-01 1.16-01 1.20-01 1.32-01 1.68-01 2.24-01 3.10-01 4.71-01 6.23-01 7.96-01 1.04+00 1.24+00 1.44+00
    17    12 6.90+09 3.11-03 3.12-03 3.14-03 3.17-03 3.25-03 3.42-03 3.61-03 3.82-03 4.09-03 4.25-03 4.37-03 4.47-03 4.52-03 4.55-03
    18    12 1.65+12 1.10-02 1.10-02 1.10-02 1.11-02 1.11-02 1.14-02 1.20-02 1.31-02 1.56-02 1.84-02 2.16-02 2.65-02 3.05-02 3.47-02
    19    12 1.83+10 1.05-01 1.05-01 1.06-01 1.07-01 1.10-01 1.16-01 1.22-01 1.30-01 1.39-01 1.45-01 1.48-01 1.52-01 1.53-01 1.54-01
    17    16 4.36+10 1.71+00 1.79+00 2.00+00 2.25+00 2.56+00 3.05+00 3.47+00 3.91+00 4.50+00 4.97+00 5.45+00 6.11+00 6.63+00 7.16+00
    18    16 2.51+06 2.19-01 2.20-01 2.23-01 2.25-01 2.28-01 2.31-01 2.33-01 2.34-01 2.34-01 2.35-01 2.35-01 2.35-01 2.35-01 2.35-01
    18    17 1.76+10 3.66+00 3.88+00 4.37+00 4.90+00 5.54+00 6.52+00 7.32+00 8.15+00 9.27+00 1.01+01 1.10+01 1.22+01 1.32+01 1.42+01
    19    17 1.65+05 2.88-01 2.93-01 2.99-01 3.04-01 3.07-01 3.10-01 3.11-01 3.12-01 3.13-01 3.13-01 3.13-01 3.13-01 3.13-01 3.13-01
    19    18 1.03+09 5.79+00 6.31+00 7.22+00 8.02+00 8.91+00 1.02+01 1.11+01 1.21+01 1.35+01 1.46+01 1.58+01 1.74+01 1.87+01 2.00+01
    22    18 1.42+12 4.03-01 4.04-01 4.08-01 4.14-01 4.27-01 4.61-01 5.03-01 5.57-01 6.44-01 7.18-01 7.98-01 9.07-01 9.91-01 1.08+00
     6     2 2.79+14 5.17-03 5.18-03 5.18-03 5.20-03 5.23-03 5.35-03 5.61-03 6.19-03 7.91-03 1.03-02 1.37-02 1.95-02 2.48-02 3.07-02
     7     2 2.88+12 5.31-02 5.31-02 5.32-02 5.32-02 5.33-02 5.37-02 5.43-02 5.55-02 5.80-02 6.05-02 6.29-02 6.55-02 6.69-02 6.79-02
     8     2 1.47+15 1.99-01 1.99-01 2.00-01 2.00-01 2.01-01 2.05-01 2.13-01 2.30-01 2.76-01 3.36-01 4.18-01 5.54-01 6.74-01 8.03-01
    13     2 1.08+14 1.16-03 1.16-03 1.16-03 1.16-03 1.17-03 1.18-03 1.21-03 1.29-03 1.50-03 1.82-03 2.28-03 3.11-03 3.86-03 4.70-03
    14     2 1.13+12 1.09-02 1.09-02 1.09-02 1.09-02 1.09-02 1.10-02 1.10-02 1.12-02 1.15-02 1.18-02 1.22-02 1.25-02 1.28-02 1.29-02
    15     2 4.69+14 4.07-02 4.08-02 4.08-02 4.08-02 4.10-02 4.14-02 4.24-02 4.44-02 5.04-02 5.83-02 6.94-02 8.81-02 1.05-01 1.23-01
    20     2 5.23+13 4.64-04 4.64-04 4.64-04 4.65-04 4.66-04 4.71-04 4.80-04 5.03-04 5.74-04 6.77-04 8.32-04 1.11-03 1.36-03 1.65-03
    21     2 5.50+11 4.20-03 4.20-03 4.20-03 4.20-03 4.21-03 4.22-03 4.24-03 4.28-03 4.38-03 4.48-03 4.60-03 4.72-03 4.80-03 4.85-03
    22     2 2.13+14 1.56-02 1.56-02 1.56-02 1.56-02 1.57-02 1.58-02 1.61-02 1.67-02 1.86-02 2.11-02 2.48-02 3.09-02 3.63-02 4.23-02
     7     6 5.33+11 2.73+00 2.75+00 2.83+00 2.96+00 3.19+00 3.64+00 4.08+00 4.60+00 5.37+00 5.98+00 6.60+00 7.45+00 8.12+00 8.83+00
     8     6 6.00+07 2.08-01 2.09-01 2.11-01 2.14-01 2.19-01 2.25-01 2.29-01 2.32-01 2.34-01 2.35-01 2.36-01 2.37-01 2.37-01 2.37-01
    13     6 1.00-30 6.36-02 6.36-02 6.38-02 6.40-02 6.46-02 6.67-02 6.96-02 7.39-02 8.07-02 8.55-02 8.94-02 9.31-02 9.49-02 9.60-02
    14     6 6.88+13 2.86-02 2.87-02 2.89-02 2.93-02 3.03-02 3.40-02 4.12-02 5.57-02 9.12-02 1.31-01 1.82-01 2.64-01 3.32-01 4.03-01
    15     6 6.59+11 8.10-02 8.10-02 8.12-02 8.16-02 8.26-02 8.56-02 9.02-02 9.70-02 1.08-01 1.16-01 1.23-01 1.29-01 1.32-01 1.34-01
    20     6 1.00-30 1.30-02 1.30-02 1.30-02 1.30-02 1.31-02 1.33-02 1.37-02 1.42-02 1.52-02 1.59-02 1.66-02 1.72-02 1.75-02 1.77-02
    21     6 3.88+13 8.40-03 8.41-03 8.45-03 8.53-03 8.70-03 9.36-03 1.06-02 1.33-02 2.00-02 2.78-02 3.77-02 5.37-02 6.72-02 8.13-02
    22     6 2.61+11 2.10-02 2.10-02 2.10-02 2.11-02 2.12-02 2.15-02 2.21-02 2.30-02 2.45-02 2.57-02 2.67-02 2.76-02 2.81-02 2.84-02
     8     7 1.62+11 4.21+00 4.27+00 4.45+00 4.72+00 5.12+00 5.86+00 6.54+00 7.31+00 8.41+00 9.26+00 1.01+01 1.14+01 1.23+01 1.34+01
    13     7 8.40+13 2.62-02 2.63-02 2.64-02 2.67-02 2.75-02 3.02-02 3.55-02 4.58-02 7.03-02 9.71-02 1.31-01 1.84-01 2.27-01 2.73-01
    14     7 3.54+11 2.49-01 2.49-01 2.50-01 2.51-01 2.53-01 2.62-01 2.73-01 2.90-01 3.16-01 3.34-01 3.49-01 3.62-01 3.69-01 3.73-01
    15     7 1.73+14 2.27-01 2.28-01 2.30-01 2.33-01 2.41-01 2.70-01 3.23-01 4.21-01 6.41-01 8.76-01 1.16+00 1.60+00 1.97+00 2.34+00
    20     7 3.92+13 6.04-03 6.04-03 6.06-03 6.09-03 6.17-03 6.47-03 7.06-03 8.27-03 1.13-02 1.48-02 1.92-02 2.63-02 3.22-02 3.85-02
    21     7 1.88+11 5.21-02 5.21-02 5.21-02 5.23-02 5.25-02 5.34-02 5.48-02 5.70-02 6.06-02 6.33-02 6.56-02 6.77-02 6.88-02 6.95-02
    22     7 8.67+13 6.38-02 6.39-02 6.41-02 6.47-02 6.59-02 7.02-02 7.83-02 9.39-02 1.30-01 1.70-01 2.19-01 2.94-01 3.57-01 4.22-01
    13     8 1.57+11 1.35-02 1.35-02 1.36-02 1.36-02 1.38-02 1.42-02 1.49-02 1.59-02 1.74-02 1.85-02 1.93-02 2.00-02 2.04-02 2.06-02
    14     8 1.51+13 3.55-02 3.55-02 3.56-02 3.57-02 3.60-02 3.74-02 4.02-02 4.58-02 5.95-02 7.49-02 9.46-02 1.26-01 1.51-01 1.79-01
    15     8 1.47+11 3.77-01 3.78-01 3.78-01 3.80-01 3.83-01 3.93-01 4.07-01 4.26-01 4.55-01 4.76-01 4.92-01 5.06-01 5.13-01 5.17-01
    20     8 8.82+10 3.08-03 3.08-03 3.09-03 3.09-03 3.11-03 3.17-03 3.25-03 3.37-03 3.56-03 3.69-03 3.81-03 3.91-03 3.96-03 4.00-03
    21     8 6.40+12 8.72-03 8.72-03 8.73-03 8.74-03 8.78-03 8.92-03 9.22-03 9.82-03 1.14-02 1.32-02 1.55-02 1.94-02 2.26-02 2.60-02
    22     8 6.70+10 7.49-02 7.49-02 7.50-02 7.52-02 7.54-02 7.64-02 7.78-02 7.99-02 8.35-02 8.60-02 8.82-02 9.02-02 9.11-02 9.18-02
    14    13 1.30+11 8.57+00 8.78+00 9.39+00 1.02+01 1.14+01 1.34+01 1.52+01 1.72+01 2.00+01 2.21+01 2.43+01 2.73+01 2.97+01 3.22+01
    15    13 1.06+07 9.51-01 9.55-01 9.66-01 9.76-01 9.87-01 1.00+00 1.01+00 1.01+00 1.02+00 1.02+00 1.03+00 1.03+00 1.03+00 1.03+00
    20    13 1.00-30 1.62-01 1.63-01 1.64-01 1.67-01 1.72-01 1.85-01 2.01-01 2.19-01 2.42-01 2.56-01 2.66-01 2.75-01 2.79-01 2.81-01
    21    13 1.51+13 5.62-02 5.64-02 5.71-02 5.87-02 6.27-02 7.87-02 1.08-01 1.60-01 2.71-01 3.85-01 5.23-01 7.27-01 8.92-01 1.06+00
    22    13 8.53+10 1.29-01 1.29-01 1.31-01 1.33-01 1.39-01 1.54-01 1.72-01 1.95-01 2.24-01 2.42-01 2.56-01 2.68-01 2.73-01 2.77-01
    15    14 4.89+10 1.68+01 1.73+01 1.88+01 2.06+01 2.29+01 2.68+01 3.01+01 3.36+01 3.84+01 4.22+01 4.61+01 5.16+01 5.59+01 6.04+01
    20    14 2.76+13 6.69-02 6.72-02 6.81-02 7.02-02 7.55-02 9.52-02 1.29-01 1.86-01 2.99-01 4.14-01 5.48-01 7.42-01 8.98-01 1.06+00
    21    14 6.14+10 6.27-01 6.28-01 6.34-01 6.43-01 6.64-01 7.18-01 7.81-01 8.52-01 9.41-01 9.94-01 1.03+00 1.07+00 1.08+00 1.09+00
    22    14 3.41+13 2.31-01 2.33-01 2.39-01 2.51-01 2.82-01 3.88-01 5.62-01 8.50-01 1.42+00 1.97+00 2.62+00 3.57+00 4.32+00 5.10+00
    20    15 4.66+10 5.46-02 5.47-02 5.53-02 5.63-02 5.85-02 6.40-02 7.01-02 7.70-02 8.54-02 9.03-02 9.40-02 9.70-02 9.84-02 9.91-02
    21    15 7.54+12 1.19-01 1.19-01 1.20-01 1.21-01 1.25-01 1.39-01 1.65-01 2.11-01 3.05-01 4.02-01 5.18-01 6.87-01 8.23-01 9.63-01
    22    15 3.30+10 1.04+00 1.04+00 1.05+00 1.07+00 1.10+00 1.17+00 1.26+00 1.36+00 1.49+00 1.56+00 1.61+00 1.66+00 1.68+00 1.69+00
    21    20 4.25+10 2.06+01 2.16+01 2.41+01 2.71+01 3.09+01 3.68+01 4.18+01 4.71+01 5.42+01 5.98+01 6.56+01 7.35+01 7.98+01 8.62+01
    22    20 2.44+06 2.64+00 2.65+00 2.68+00 2.71+00 2.74+00 2.77+00 2.79+00 2.80+00 2.81+00 2.82+00 2.82+00 2.82+00 2.82+00 2.82+00
    22    21 1.75+10 4.40+01 4.66+01 5.25+01 5.89+01 6.65+01 7.83+01 8.79+01 9.79+01 1.12+02 1.22+02 1.33+02 1.48+02 1.60+02 1.72+02
  -1
  -1  -1
c-------------------------------------------------------------------------------
c comments from original adf04 file
C-------------------------------------------------------------------------------
C
C   Atomic Structure from Cowan Atomic Structure Program
C
C-------------------------------------------------------------------------------
C
C   Code     : ADAS8XX_CREATE_CA_ADF04
C   Producer : Stuart Henderson
C   Date     : 21/08/17
C-------------------------------------------------------------------------------
c-------------------------------------------------------------------------------
c
c  Conversion of an adf04 dataset from type 1 to type 3
c
c  Parameter: Cowan ion threshold shift = F
c
c
c  Producer : Stuart Henderson
c  Date     : 21-08-2017
c
c-------------------------------------------------------------------------------
c
c  Separate iz1 from ionisation potential.
c
c  Martin O'Mullane
c  18-08-2019
c 
c-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 19-May-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
