W + 7        74         8  1139000.0(1S)
    1  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    2  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    3  4dA 4fE 5s2 5p5         (0)0(     2.5)        32943.1000   {X}
    4  4dA 4fE 5s1 5p6         (0)0(     0.5)       376870.7000   {X}
    5  4dA 4fD 5s2 5p5 5d1     (0)0(   419.0)       391773.0000   {X}
    6  4dA 4fE 5s2 5p4 5d1     (0)0(    74.5)       418713.5000   {X}
    7  4dA 4fE 5s2 5p4 6s1     (0)0(    14.5)       549959.3000   {X}
    8  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
    9  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
   10  4dA 4fE 5s2 5p4 6p1     (0)0(    44.5)       647395.0000   {X}
    16    10 2.47+05 3.77+01 3.78+01 3.80+01 3.85+01 3.95+01 4.22+01 4.57+01 5.00+01 5.57+01 5.94+01 6.21+01 6.45+01 6.56+01 6.63+01
    19    10 1.15+09 2.46+01 2.47+01 2.48+01 2.50+01 2.55+01 2.69+01 2.88+01 3.16+01 3.63+01 4.02+01 4.41+01 4.93+01 5.30+01 5.68+01
    20    10 4.05+05 5.22+00 5.23+00 5.25+00 5.29+00 5.39+00 5.68+00 6.10+00 6.70+00 7.60+00 8.22+00 8.72+00 9.17+00 9.39+00 9.52+00
    18    14 1.02+10 2.93+02 2.95+02 3.03+02 3.17+02 3.51+02 4.53+02 5.98+02 8.11+02 1.19+03 1.53+03 1.91+03 2.44+03 2.86+03 3.29+03
    15    14 1.05+03 8.83+01 8.85+01 8.93+01 9.04+01 9.19+01 9.43+01 9.59+01 9.72+01 9.84+01 9.90+01 9.93+01 9.96+01 9.97+01 9.97+01
    16    14 3.17+09 2.04+02 2.06+02 2.13+02 2.28+02 2.58+02 3.38+02 4.37+02 5.68+02 7.82+02 9.70+02 1.17+03 1.44+03 1.66+03 1.87+03
    19    14 6.28+04 9.39+01 9.42+01 9.51+01 9.69+01 1.01+02 1.10+02 1.20+02 1.31+02 1.45+02 1.54+02 1.60+02 1.65+02 1.67+02 1.68+02
    20    14 3.80+09 5.18+01 5.20+01 5.25+01 5.36+01 5.61+01 6.41+01 7.60+01 9.39+01 1.26+02 1.55+02 1.87+02 2.32+02 2.67+02 3.02+02
    19    18 8.10+07 2.49+03 2.58+03 2.83+03 3.18+03 3.71+03 4.63+03 5.46+03 6.39+03 7.68+03 8.69+03 9.72+03 1.11+04 1.22+04 1.32+04
    20    18 1.43+04 2.73+02 2.74+02 2.79+02 2.88+02 3.05+02 3.40+02 3.73+02 4.04+02 4.38+02 4.56+02 4.68+02 4.78+02 4.82+02 4.84+02
    16    15 7.88+08 6.10+02 6.19+02 6.50+02 7.04+02 8.02+02 1.02+03 1.24+03 1.51+03 1.93+03 2.26+03 2.60+03 3.07+03 3.43+03 3.80+03
    19    15 5.94+04 6.50+01 6.52+01 6.61+01 6.77+01 7.08+01 7.79+01 8.50+01 9.22+01 1.00+02 1.04+02 1.08+02 1.10+02 1.11+02 1.12+02
    18    16 1.89+03 3.40+02 3.41+02 3.45+02 3.51+02 3.59+02 3.74+02 3.84+02 3.93+02 4.01+02 4.05+02 4.08+02 4.10+02 4.10+02 4.11+02
    19    16 2.82+09 7.22+02 7.32+02 7.67+02 8.34+02 9.68+02 1.30+03 1.69+03 2.18+03 2.96+03 3.63+03 4.32+03 5.27+03 6.01+03 6.75+03
    20    16 8.12+04 1.40+01 1.41+01 1.44+01 1.50+01 1.62+01 1.95+01 2.34+01 2.79+01 3.35+01 3.68+01 3.93+01 4.15+01 4.24+01 4.30+01
    20    19 3.06+09 3.96+02 4.04+02 4.32+02 4.88+02 6.08+02 9.32+02 1.33+03 1.86+03 2.75+03 3.52+03 4.34+03 5.48+03 6.36+03 7.24+03
    13     4 1.05+10 1.87+01 1.87+01 1.88+01 1.89+01 1.93+01 2.04+01 2.23+01 2.58+01 3.30+01 4.03+01 4.88+01 6.17+01 7.20+01 8.26+01
    17     4 1.29+10 6.07-01 6.08-01 6.11-01 6.17-01 6.31-01 6.83-01 7.83-01 9.82-01 1.47+00 2.03+00 2.72+00 3.84+00 4.78+00 5.76+00
    17    13 3.58+04 1.46+01 1.46+01 1.47+01 1.47+01 1.49+01 1.52+01 1.55+01 1.58+01 1.62+01 1.64+01 1.65+01 1.66+01 1.67+01 1.67+01
    22     9 9.06+03 1.67+00 1.67+00 1.67+00 1.67+00 1.67+00 1.68+00 1.69+00 1.71+00 1.74+00 1.76+00 1.77+00 1.79+00 1.79+00 1.80+00
    11     9 3.06+09 1.58+03 1.59+03 1.62+03 1.67+03 1.78+03 2.07+03 2.44+03 2.92+03 3.70+03 4.38+03 5.11+03 6.10+03 6.87+03 7.66+03
     3     2 7.52-01 1.65-01 1.69-01 1.82-01 2.03-01 2.36-01 2.89-01 3.23-01 3.47-01 3.65-01 3.72-01 3.76-01 3.78-01 3.79-01 3.80-01
     5     2 1.18+10 1.25+02 1.25+02 1.26+02 1.27+02 1.29+02 1.36+02 1.49+02 1.72+02 2.19+02 2.68+02 3.26+02 4.13+02 4.83+02 5.55+02
    11     2 5.90+03 1.48-01 1.48-01 1.48-01 1.48-01 1.48-01 1.48-01 1.49-01 1.51-01 1.55-01 1.57-01 1.60-01 1.62-01 1.63-01 1.63-01
  -1
  -1  -1
c-------------------------------------------------------------------------------
c comments from original adf04 file
C-------------------------------------------------------------------------------
C
C   Atomic Structure from Cowan Atomic Structure Program
C
C-------------------------------------------------------------------------------
C
C   Code     : ADAS8XX_CREATE_CA_ADF04
C   Producer : Stuart Henderson
C   Date     : 21/08/17
C-------------------------------------------------------------------------------
c-------------------------------------------------------------------------------
c
c  Conversion of an adf04 dataset from type 1 to type 3
c
c  Parameter: Cowan ion threshold shift = F
c
c
c  Producer : Stuart Henderson
c  Date     : 21-08-2017
c
c-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 20-May-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
